fase_aluno,turma,ano_nasc,idade,genero,ano_inicio_pm,instituicao_aluno,CG,CF,CT,Nº Av,IAA,IEG,IPS,IDA,mat,por,ing,indicado_por_bolsa,ano_base,Escola,Ativo/ Inativo,risco_defasagem
7,A,2003,19,Menina,2016,Escola Pública,753.0,18.0,10.0,4.0,8.3,4.1,5.6,4.0,2.7,3.5,6.0,Sim,2022,,,1
7,A,2005,17,Menina,2017,Rede Decisão,469.0,8.0,3.0,4.0,8.8,5.2,6.3,6.8,6.3,4.5,9.7,Não,2022,,,0
7,A,2005,17,Menina,2016,Rede Decisão,629.0,13.0,6.0,4.0,0.0,7.9,5.6,5.6,5.8,4.0,6.9,Não,2022,,,0
7,A,2005,17,Menino,2017,Rede Decisão,731.0,15.0,7.0,4.0,8.8,4.5,5.6,5.0,2.8,3.5,8.7,Não,2022,,,0
7,A,2005,17,Menina,2016,Rede Decisão,344.0,6.0,2.0,4.0,7.9,8.6,5.6,5.2,7.0,2.9,5.7,Não,2022,,,0
7,A,2004,18,Menina,2021,Escola Pública,745.0,16.0,8.0,4.0,7.9,4.5,7.5,3.3,2.3,5.3,2.3,Sim,2022,,,1
7,A,2004,18,Menino,2017,Rede Decisão,550.0,11.0,5.0,4.0,0.0,8.4,7.5,7.6,8.2,5.7,9.0,Não,2022,,,1
7,A,2002,20,Menina,2018,Escola Pública,836.0,21.0,13.0,4.0,7.1,4.6,6.3,1.6,1.2,0.7,2.9,Não,2022,,,1
7,A,2004,18,Menina,2019,Escola Pública,113.0,1.0,1.0,4.0,8.8,9.5,7.5,6.7,5.5,6.0,8.7,Sim,2022,,,1
7,A,2004,18,Menina,2021,Escola Pública,752.0,17.0,9.0,4.0,8.3,5.2,5.0,4.1,3.3,2.6,6.4,Não,2022,,,1
7,A,2004,18,Menina,2016,Escola Pública,799.0,19.0,11.0,4.0,9.2,4.2,5.0,3.0,1.8,2.5,4.5,Não,2022,,,1
7,A,2005,17,Menina,2020,Escola Pública,834.0,20.0,12.0,4.0,0.0,4.0,6.9,1.5,2.7,1.1,0.7,Sim,2022,,,0
7,A,2004,18,Menino,2016,Escola Pública,524.0,10.0,4.0,4.0,7.9,7.4,7.5,4.7,3.5,5.5,5.2,Sim,2022,,,1
7,D,2001,21,Menino,2022,Escola Pública,558.0,12.0,7.0,4.0,7.9,8.3,7.5,4.0,8.0,0.0,,Sim,2022,,,1
7,D,2004,18,Menino,2022,Escola Pública,207.0,3.0,2.0,4.0,8.8,10.0,7.5,7.3,8.0,6.5,,Sim,2022,,,1
7,D,2003,19,Menino,2022,Escola Pública,706.0,14.0,8.0,4.0,7.9,8.3,5.0,3.5,7.0,0.0,,Sim,2022,,,1
7,D,2002,20,Menino,2022,Escola Pública,125.0,2.0,1.0,4.0,8.8,10.0,7.5,7.8,9.0,6.5,,Sim,2022,,,1
7,D,2003,19,Menino,2022,Escola Pública,418.0,7.0,5.0,4.0,6.3,8.7,6.3,9.0,9.0,9.0,,Sim,2022,,,1
7,D,2003,19,Menina,2022,Escola Pública,248.0,4.0,3.0,4.0,7.9,9.5,7.5,8.0,7.0,9.0,,Sim,2022,,,1
7,D,2003,19,Menina,2022,Escola Pública,296.0,5.0,4.0,4.0,7.1,10.0,6.3,7.8,9.0,6.5,,Sim,2022,,,1
7,D,2004,18,Menino,2022,Escola Pública,508.0,9.0,6.0,4.0,9.6,9.2,7.5,3.8,7.0,0.5,,Sim,2022,,,1
6,A,2005,17,Menina,2019,Rede Decisão,327.0,10.0,10.0,4.0,8.3,7.4,8.1,6.7,9.0,3.1,7.8,Não,2022,,,1
6,A,2005,17,Menino,2021,Escola Pública,243.0,8.0,8.0,4.0,8.3,8.2,8.1,6.7,7.2,4.7,8.2,Sim,2022,,,1
6,A,2005,17,Menina,2021,Rede Decisão,119.0,5.0,5.0,4.0,9.2,7.9,6.9,8.6,10.0,6.3,9.7,Não,2022,,,1
6,A,2005,17,Menina,2021,Escola Pública,147.0,6.0,6.0,4.0,8.3,8.3,8.8,6.9,9.2,3.8,7.7,Sim,2022,,,1
6,A,2005,17,Menino,2022,Escola Pública,17.0,3.0,3.0,4.0,9.6,8.8,10.0,8.0,9.5,4.4,10.0,Sim,2022,,,1
6,A,2005,17,Menino,2016,Rede Decisão,449.0,12.0,12.0,4.0,0.0,7.6,8.1,8.0,7.7,6.3,10.0,Não,2022,,,1
